technique_id,technique,tactics,log_source,event_codes,channel_detail
T1001,Data Obfuscation,command-and-control,NSM:Flow,,HTTP 
T1001.001,Junk Data,command-and-control,NSM:Flow,,TCP/UDP
T1001.001,Junk Data,command-and-control,WinEventLog:Sysmon,10,
T1001.001,Junk Data,command-and-control,WinEventLog:Sysmon,3;22,
T1001.002,Steganography,command-and-control,NSM:Flow,,Session Transfer Content
T1001.002,Steganography,command-and-control,WinEventLog:Sysmon,1,
T1001.002,Steganography,command-and-control,WinEventLog:Sysmon,11,
T1001.002,Steganography,command-and-control,WinEventLog:Sysmon,3;22,
T1001.003,Protocol or Service Impersonation,command-and-control,NSM:Flow,,SSL/TLS Handshake Analysis
T1001.003,Protocol or Service Impersonation,command-and-control,WinEventLog:Sysmon,3;22,
T1003,OS Credential Dumping,credential-access,WinEventLog:Security,4662,
T1003,OS Credential Dumping,credential-access,WinEventLog:Security,4663;4670;4656,
T1003,OS Credential Dumping,credential-access,WinEventLog:Sysmon,1,
T1003,OS Credential Dumping,credential-access,WinEventLog:Sysmon,10,
T1003.001,LSASS Memory,credential-access,WinEventLog:Security,4673,
T1003.001,LSASS Memory,credential-access,WinEventLog:Sysmon,1,
T1003.001,LSASS Memory,credential-access,WinEventLog:Sysmon,10,
T1003.001,LSASS Memory,credential-access,WinEventLog:Sysmon,11,
T1003.001,LSASS Memory,credential-access,WinEventLog:Sysmon,13;14,
T1003.002,Security Account Manager,credential-access,WinEventLog:Security,4688,
T1003.002,Security Account Manager,credential-access,WinEventLog:Sysmon,11,
T1003.002,Security Account Manager,credential-access,WinEventLog:Sysmon,13;14,
T1003.002,Security Account Manager,credential-access,WinEventLog:Sysmon,2,
T1003.003,NTDS,credential-access,WinEventLog:Microsoft-Windows-VSS,,Volume Shadow Copy Creation
T1003.003,NTDS,credential-access,WinEventLog:Security,4688,
T1003.003,NTDS,credential-access,WinEventLog:Sysmon,11,
T1003.003,NTDS,credential-access,WinEventLog:Sysmon,2,
T1003.004,LSA Secrets,credential-access,WinEventLog:Security,4663;4670;4656,
T1003.004,LSA Secrets,credential-access,WinEventLog:Sysmon,1,
T1003.004,LSA Secrets,credential-access,WinEventLog:Sysmon,10,
T1003.004,LSA Secrets,credential-access,WinEventLog:Sysmon,7,
T1003.005,Cached Domain Credentials,credential-access,WinEventLog:Security,4663;4670;4656,
T1003.005,Cached Domain Credentials,credential-access,WinEventLog:Sysmon,1,
T1003.005,Cached Domain Credentials,credential-access,WinEventLog:Sysmon,10,
T1003.006,DCSync,credential-access,NSM:Content,,Traffic on RPC DRSUAPI
T1003.006,DCSync,credential-access,WinEventLog:Security,4662,
T1003.006,DCSync,credential-access,WinEventLog:Security,4929,
T1005,Data from Local System,collection,WinEventLog:Security,4688,
T1005,Data from Local System,collection,WinEventLog:Sysmon,11,
T1006,Direct Volume Access,stealth,WinEventLog:Security,4688,
T1006,Direct Volume Access,stealth,WinEventLog:Sysmon,10,
T1007,System Service Discovery,discovery,WinEventLog:PowerShell,4103;4104;4105;4106,
T1007,System Service Discovery,discovery,WinEventLog:Security,4688,
T1008,Fallback Channels,command-and-control,NSM:Flow,,uncommon ports
T1008,Fallback Channels,command-and-control,WinEventLog:Sysmon,3;22,
T1010,Application Window Discovery,discovery,WinEventLog:PowerShell,4103;4104;4105;4106,
T1010,Application Window Discovery,discovery,WinEventLog:Sysmon,10,
T1011,Exfiltration Over Other Network Medium,exfiltration,WinEventLog:Sysmon,11,
T1011,Exfiltration Over Other Network Medium,exfiltration,WinEventLog:Sysmon,3;22,
T1011,Exfiltration Over Other Network Medium,exfiltration,WinEventLog:System,,"EventCode=5005 (WLAN), EventCode=302 (Bluetooth)"
T1011.001,Exfiltration Over Bluetooth,exfiltration,WinEventLog:Sysmon,1,
T1011.001,Exfiltration Over Bluetooth,exfiltration,WinEventLog:Sysmon,11,
T1011.001,Exfiltration Over Bluetooth,exfiltration,WinEventLog:System,8001,
T1012,Query Registry,discovery,WinEventLog:PowerShell,4103;4104;4105;4106,
T1012,Query Registry,discovery,WinEventLog:Sysmon,1,
T1012,Query Registry,discovery,WinEventLog:Sysmon,13;14,
T1014,Rootkit,stealth,WinEventLog:Sysmon,11,
T1014,Rootkit,stealth,WinEventLog:Sysmon,6,
T1014,Rootkit,stealth,WinEventLog:System,7045,
T1016,System Network Configuration Discovery,discovery,WinEventLog:PowerShell,4103;4104;4105;4106,
T1016,System Network Configuration Discovery,discovery,WinEventLog:Sysmon,1,
T1016.001,Internet Connection Discovery,discovery,WinEventLog:PowerShell,4103;4104;4105;4106,
T1016.001,Internet Connection Discovery,discovery,WinEventLog:Security,5156;5157,
T1016.001,Internet Connection Discovery,discovery,WinEventLog:Sysmon,1,
T1016.002,Wi-Fi Discovery,discovery,WinEventLog:PowerShell,4103;4104;4105;4106,
T1016.002,Wi-Fi Discovery,discovery,WinEventLog:Sysmon,1,
T1018,Remote System Discovery,discovery,WinEventLog:Sysmon,1,
T1018,Remote System Discovery,discovery,WinEventLog:Sysmon,3;22,
T1020,Automated Exfiltration,exfiltration,WinEventLog:Security,4688,
T1020,Automated Exfiltration,exfiltration,WinEventLog:Sysmon,3;22,
T1021,Remote Services,lateral-movement,WinEventLog:Security,4624;4648,
T1021,Remote Services,lateral-movement,WinEventLog:Sysmon,1,
T1021,Remote Services,lateral-movement,WinEventLog:Sysmon,3;22,
T1021.001,Remote Desktop Protocol,lateral-movement,WinEventLog:Security,,"EventCode=4778, EventCode=4779"
T1021.001,Remote Desktop Protocol,lateral-movement,WinEventLog:Security,4624;4648,
T1021.001,Remote Desktop Protocol,lateral-movement,WinEventLog:Sysmon,1,
T1021.001,Remote Desktop Protocol,lateral-movement,WinEventLog:Sysmon,3;22,
T1021.002,SMB/Windows Admin Shares,lateral-movement,WinEventLog:Security,4624;4648,
T1021.002,SMB/Windows Admin Shares,lateral-movement,WinEventLog:Sysmon,1,
T1021.002,SMB/Windows Admin Shares,lateral-movement,WinEventLog:Sysmon,3;22,
T1021.003,Distributed Component Object Model,lateral-movement,WinEventLog:Security,4624;4648,
T1021.003,Distributed Component Object Model,lateral-movement,WinEventLog:Sysmon,1,
T1021.003,Distributed Component Object Model,lateral-movement,WinEventLog:Sysmon,3;22,
T1021.003,Distributed Component Object Model,lateral-movement,WinEventLog:Sysmon,7,
T1021.005,VNC,lateral-movement,NSM:Flow,,port 5900 inbound
T1021.005,VNC,lateral-movement,WinEventLog:Security,4624;4648,
T1021.005,VNC,lateral-movement,WinEventLog:Sysmon,1,
T1021.006,Windows Remote Management,lateral-movement,NSM:Connections,,Inbound on ports 5985/5986
T1021.006,Windows Remote Management,lateral-movement,WinEventLog:Security,4624;4648,
T1021.006,Windows Remote Management,lateral-movement,WinEventLog:Sysmon,1,
T1021.006,Windows Remote Management,lateral-movement,WinEventLog:WinRM,6,
T1025,Data from Removable Media,collection,WinEventLog:Security,4663;4670;4656,
T1025,Data from Removable Media,collection,WinEventLog:Sysmon,1,
T1025,Data from Removable Media,collection,WinEventLog:System,2003,
