technique_id,is_subtechnique,technique,tactics,data_source,data_component,event_id,event_name,channel,audit_sub_category,log_source
T1622,False,Debugger Evasion,defense-evasion;discovery,process,os api execution,8,CreateRemoteThread.,Microsoft-Windows-Sysmon/Operational,,Microsoft-Windows-Sysmon
T1622,False,Debugger Evasion,defense-evasion;discovery,process,os api execution,DeviceEvents,DeviceEvents,,,Microsoft Defender for Endpoint
T1622,False,Debugger Evasion,defense-evasion;discovery,process,process creation,4688,A new process has been created.,Security,Process Creation,Microsoft-Windows-Security-Auditing
T1622,False,Debugger Evasion,defense-evasion;discovery,process,process creation,1,Process Creation.,Microsoft-Windows-Sysmon/Operational,,Microsoft-Windows-Sysmon
T1622,False,Debugger Evasion,defense-evasion;discovery,process,process creation,DeviceProcessEvents,DeviceProcessEvents,,,Microsoft Defender for Endpoint
T1622,False,Debugger Evasion,defense-evasion;discovery,process,process creation,8,CreateRemoteThread.,Microsoft-Windows-Sysmon/Operational,,Microsoft-Windows-Sysmon
T1622,False,Debugger Evasion,defense-evasion;discovery,process,process creation,DeviceEvents,DeviceEvents,,,Microsoft Defender for Endpoint
T1622,False,Debugger Evasion,defense-evasion;discovery,command,command execution,4688,A new process has been created.,Security,Process Creation,Microsoft-Windows-Security-Auditing
T1622,False,Debugger Evasion,defense-evasion;discovery,command,command execution,1,Process Creation.,Microsoft-Windows-Sysmon/Operational,,Microsoft-Windows-Sysmon
T1622,False,Debugger Evasion,defense-evasion;discovery,command,command execution,4103,Module logging.,Microsoft-Windows-PowerShell/Operational,,Microsoft-Windows-PowerShell
T1622,False,Debugger Evasion,defense-evasion;discovery,command,command execution,DeviceProcessEvents,DeviceProcessEvents,,,Microsoft Defender for Endpoint
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session metadata,4703,A token right was adjusted.,Security,Authorization Policy Change,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session metadata,4673,A privileged service was called.,Security,Sensitive Privilege Use,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session metadata,4674,An operation was attempted on a privileged object.,Security,Sensitive Privilege Use,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session metadata,4610,An authentication package has been loaded by the Local Security Authority.,Security,Security System Extension,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session metadata,4611,A trusted logon process has been registered with the Local Security Authority.,Security,Security System Extension,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session metadata,4614,A notification package has been loaded by the Security Account Manager.,Security,Security System Extension,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session metadata,4622,A security package has been loaded by the Local Security Authority.,Security,Security System Extension,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session creation,4624,An account was successfully logged on.,Security,Logon,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session creation,4778,A session was reconnected to a Window Station.,Security,Other Logon/Logoff Events,Microsoft-Windows-Security-Auditing
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session creation,DeviceLogonEvents,DeviceLogonEvents,,,Microsoft Defender for Endpoint
T1621,False,Multi-Factor Authentication Request Generation,credential-access,logon session,logon session creation,4964,Special groups have been assigned to a new logon.,Security,Special Logon,Microsoft-Windows-Security-Auditing
